Location,Stake,Ward,AdultVolunteer,YouthVolunteer,Bags,RouteTime,MultiRoute,CompletedRoutes,RouteDoors,OverallTime,Neighbourhood,ID,Latitude,Longitude
Bearspaw Chapel,Gateway Stake,Beaumont Ward,2,2,20,45,Yes,2,200,110,Beaumont,266,,
Coronation Park Chapel,North Edmonton,Belmead,1,2,15,52.5,No,1,153,89,Belmead,174,53.52704365,-113.6344406
Coronation Park Chapel,North Edmonton,Belmead,1,1,30,45.66666667,No,1,154,50.03657523,Belmead,177,53.52704298,-113.6435271
Coronation Park Chapel,North Edmonton,Belmead,1,1,15,46.33333333,No,1,155,55.07315046,Belmead,178,53.52738203,-113.6344213
Coronation Park Chapel,North Edmonton,Belmead,3,0,12,52.5,No,1,161,82.5,Belmead,198,53.52766166,-113.6359341
Coronation Park Chapel,North Edmonton,Belmead,2,0,17,33.5,No,1,186,33.5,Belmead,245,53.52255037,-113.6407465
Coronation Park Chapel,North Edmonton,Belmead,2,0,26,20,No,1,187,40,Belmead,247,53.52190357,-113.6417705
Coronation Park Chapel,North Edmonton,Belmead,1,1,15,28.5,No,1,195,31,Belmead,258,53.52445431,-113.636398
Coronation Park Chapel,North Edmonton,Belmead,2,3,12,90,No,1,200,76.5,Belmead,281,53.52718498,-113.6402793
Coronation Park Chapel,North Edmonton,Belmead,2,0,29,28,No,1,201,35,Belmead,284,53.52255037,-113.6407465
Coronation Park Chapel,North Edmonton,Belmead,1,2,16,29,No,1,201,28.5,Belmead,286,53.52321817,-113.6368925
Coronation Park Chapel,North Edmonton,Belmead,2,0,18,47.5,No,1,207,48.5,Belmead,301,53.52286413,-113.6385871
Coronation Park Chapel,North Edmonton,Belmead,1,3,13,155,No,1,210,64,Belmead,305,53.52766166,-113.6359341
Coronation Park Chapel,North Edmonton,Belmead,2,3,47,67.5,No,1,213,70,Belmead,309,53.5226103,-113.636078
Coronation Park Chapel,North Edmonton,Belmead,2,1,24,28.33333333,No,1,216,43.36990856,Belmead,314,53.52463484,-113.6315157
Coronation Park Chapel,North Edmonton,Belmead,2,1,37,21.66666667,No,1,217,51.73981712,Belmead,315,53.52286413,-113.6385871
Coronation Park Chapel,North Edmonton,Belmead,1,1,30,56.66666667,No,1,219,56.66666667,Belmead,318,53.52578764,-113.6431191
Coronation Park Chapel,North Edmonton,Belmead,3,0,25,53.33333333,No,1,219,53.33333333,Belmead,319,53.52286413,-113.6385871
Coronation Park Chapel,North Edmonton,Belmead,3,0,57,42.5,No,1,226,39,Belmead,327,53.526221,-113.644835
Coronation Park Chapel,North Edmonton,Belmead,2,2,25,52.5,No,1,228,49,Belmead,329,53.52185099,-113.645187
Coronation Park Chapel,North Edmonton,Belmead,2,1,22,43.33333333,No,1,234,50,Belmead,331,53.52286413,-113.6385871
Coronation Park Chapel,North Edmonton,Belmead,1,2,20,41.66666667,No,1,234,55,Belmead,332,53.52877062,-113.6412792
Coronation Park Chapel,North Edmonton,Belmead,1,0,22,50,No,1,237,61.25,Belmead,339,53.52445431,-113.636398
Coronation Park Chapel,North Edmonton,Belmead,2,3,26,55,No,1,237,62.5,Belmead,340,53.52384077,-113.6459966
Coronation Park Chapel,North Edmonton,Belmead,1,2,25,60,No,1,239,63.75,Belmead,341,53.52226658,-113.6339298
Coronation Park Chapel,North Edmonton,Belmead,2,2,45,75,No,1,240,97.5,Belmead,345,53.52394037,-113.6447159
Coronation Park Chapel,North Edmonton,Belmead,1,2,25,60,No,1,245,59,Belmead,350,53.52286413,-113.6385871
Coronation Park Chapel,North Edmonton,Belmead,1,0,14,43.33333333,No,1,254,43.33333333,Belmead,357,53.52396845,-113.6356758
Coronation Park Chapel,North Edmonton,Belmead,2,1,27,41.66666667,No,1,255,41.66666667,Belmead,358,53.52718498,-113.6402793
Coronation Park Chapel,North Edmonton,Belmead,2,1,31,42.5,No,1,256,45,Belmead,360,53.52766166,-113.6359341
Coronation Park Chapel,North Edmonton,Belmead,2,0,35,67.5,No,1,257,70,Belmead,362,53.52274805,-113.6367203
Coronation Park Chapel,North Edmonton,Belmead,2,0,19,73.33333333,No,1,264,73.33333333,Belmead,369,53.52255037,-113.6407465
Coronation Park Chapel,North Edmonton,Belmead,1,2,28,66.66666667,No,1,264,66.66666667,Belmead,370,53.52352378,-113.6351176
Coronation Park Chapel,North Edmonton,Belmead,4,0,31,54.5,No,1,267,50,Belmead,373,53.52330165,-113.6454123
Coronation Park Chapel,North Edmonton,Belmead,0,2,30,38.75,No,1,267,38.75,Belmead,375,53.52283719,-113.6346532
Coronation Park Chapel,North Edmonton,Belmead,2,0,47,37.5,No,1,268,37.5,Belmead,376,53.52741231,-113.6330449
Coronation Park Chapel,North Edmonton,Belmead,2,3,54,36.25,No,1,272,36.25,Belmead,377,53.52445431,-113.636398
Coronation Park Chapel,North Edmonton,Belmead,2,0,28,57.5,No,1,273,70,Belmead,379,53.52571116,-113.6456126
Coronation Park Chapel,North Edmonton,Belmead,1,1,16,77.14285714,No,1,273,98.57142857,Belmead,381,53.52797593,-113.6309256
Coronation Park Chapel,North Edmonton,Belmead,1,1,30,74.28571429,No,1,273,92.14285714,Belmead,382,53.52786502,-113.6424709
Coronation Park Chapel,North Edmonton,Belmead,2,3,37,71.42857143,No,1,275,85.71428571,Belmead,383,53.52766166,-113.6359341
Coronation Park Chapel,North Edmonton,Belmead,0,2,18,68.57142857,No,1,275,79.28571429,Belmead,384,53.52445431,-113.636398
Coronation Park Chapel,North Edmonton,Belmead,3,1,38,65.71428571,No,1,278,72.85714286,Belmead,385,53.52952218,-113.6441119
Coronation Park Chapel,North Edmonton,Belmead,1,3,55,62.85714286,No,1,279,66.42857143,Belmead,386,53.52766166,-113.6359341
Coronation Park Chapel,North Edmonton,Belmead,1,1,20,61.66666667,No,1,280,65,Belmead,389,53.52231592,-113.6425623
Coronation Park Chapel,North Edmonton,Belmead,3,3,19,63.33333333,No,1,281,67,Belmead,390,53.52622048,-113.6456867
Coronation Park Chapel,North Edmonton,Belmead,1,0,23,65,No,1,281,69,Belmead,391,53.52445431,-113.636398
Coronation Park Chapel,North Edmonton,Belmead,2,3,61,66.66666667,No,1,284,71,Belmead,392,53.5262221,-113.6418417
Coronation Park Chapel,North Edmonton,Belmead,1,2,31,68.33333333,No,1,284,73,Belmead,393,53.52330564,-113.6320085
Coronation Park Chapel,North Edmonton,Belmead,2,2,40,69.23076923,No,1,288,75.38461538,Belmead,395,53.52445431,-113.636398
Coronation Park Chapel,North Edmonton,Belmead,2,3,32,68.46153846,No,1,288,75.76923077,Belmead,396,53.52890947,-113.6454896
Coronation Park Chapel,North Edmonton,Belmead,1,0,35,67.69230769,No,1,288,76.15384615,Belmead,397,53.52542819,-113.6469175
Coronation Park Chapel,North Edmonton,Belmead,1,2,31,66.92307692,No,1,289,76.53846154,Belmead,398,53.52274835,-113.6467901
Coronation Park Chapel,North Edmonton,Belmead,1,3,13,66.15384615,No,1,289,76.92307692,Belmead,399,53.52286413,-113.6385871
Coronation Park Chapel,North Edmonton,Belmead,2,3,21,65.38461538,No,1,289,77.30769231,Belmead,400,53.5280336,-113.6336538
Coronation Park Chapel,North Edmonton,Belmead,3,0,43,64.61538462,No,1,293,77.69230769,Belmead,401,53.52718498,-113.6402793
Coronation Park Chapel,North Edmonton,Belmead,1,1,33,63.84615385,No,1,293,78.07692308,Belmead,402,53.52255037,-113.6407465
Coronation Park Chapel,North Edmonton,Belmead,1,3,80,63.07692308,No,1,296,78.46153846,Belmead,403,53.52718498,-113.6402793
Coronation Park Chapel,North Edmonton,Belmead,1,0,33,62.30769231,No,1,297,78.84615385,Belmead,404,53.52869926,-113.6437344
Coronation Park Chapel,North Edmonton,Belmead,2,3,27,61.53846154,No,1,298,79.23076923,Belmead,405,53.52207253,-113.6439489
Coronation Park Chapel,North Edmonton,Belmead,1,1,38,60.76923077,No,1,299,79.61538462,Belmead,406,53.52819383,-113.6421426
Coronation Park Chapel,North Edmonton,Belmead,1,2,16,60,No,1,300,85,Belmead,412,53.52184917,-113.6329277
Coronation Park Chapel,North Edmonton,Belmead,2,0,17,51.33333333,No,1,303,62,Belmead,417,53.52788671,-113.6454342
Coronation Park Chapel,North Edmonton,Belmead,2,3,38,70.66666667,No,1,305,85,Belmead,418,53.52718498,-113.6402793
Coronation Park Chapel,North Edmonton,Belmead,2,0,39,70,No,1,313,63.5,Belmead,421,53.52830538,-113.6466988
Coronation Park Chapel,North Edmonton,Belmead,3,0,30,110,No,1,316,107.5,Belmead,424,53.52445431,-113.636398
Coronation Park Chapel,North Edmonton,Belmead,1,2,53,95,No,1,320,95,Belmead,426,53.52445431,-113.636398
Coronation Park Chapel,North Edmonton,Belmead,2,0,63,102.5,No,1,328,92.5,Belmead,429,53.52286413,-113.6385871
Coronation Park Chapel,North Edmonton,Belmead,1,3,71,67.5,No,1,343,72.5,Belmead,433,53.52189841,-113.6367002
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,3,0,8,30,No,1,60,30,Blackmud Creek,51,53.42284108,-113.5073499
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,16,20,No,1,67,30,Blackmud Creek,54,53.42284108,-113.5073499
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,3,42,30,No,1,95,53,Blackmud Creek,71,53.42284108,-113.5073499
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,2,15,60,No,1,100,75,Blackmud Creek,80,53.42284108,-113.5073499
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,3,4,19,20,Yes,2,109,20,Blackmud Creek,92,53.42284108,-113.5073499
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,21,40,No,1,109,40,Blackmud Creek,93,53.42284108,-113.5073499
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,20,60,No,1,123,60,Blackmud Creek,119,53.42284108,-113.5073499
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,15,45,No,1,135,35,Blackmud Creek,132,53.42284108,-113.5073499
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,20,20,60,No,1,147,60,Blackmud Creek,155,53.42284108,-113.5073499
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,35,60,No,1,148,120,Blackmud Creek,161,53.42284108,-113.5073499
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,4,18,45,No,1,154,45,Blackmud Creek,176,53.42284108,-113.5073499
